REAL_ESTATE_ADDRESS,REAL_ESTATE_ID,PA_SUITE,PA_HOUSE_NUMBER,PA_STREET_NAME,PA_ASSESSED_VALUE,PA_ACCOUNT_NUMBER,PA_LATITUDE,PA_LONGITUDE,Acres,Latitude,Longitude,Bathrooms,Bedrooms,Beds Above Grade,Condo Fee,Construction – Wood Frame,Construction – Concrete,Construction – Concrete Block,Construction – Insulated Concrete,Construction – Modular,Construction – Prefab,Construction – Steel Frame,Ensuite,Exposure – North,Exposure – Northwest,Exposure – West,Exposure – Southwest,Exposure – South,Exposure – Southeast,Exposure – East,Exposure – Northeast,Fireplace,Foundation – Concrete,Foundation – Block,Foundation – Brick/Stone/Block,Foundation – Concrete Slab,Foundation – Grade Beam,Foundation – Piling,Foundation – Preserved Wood,Foundation – Other or NaN,Full Baths,HOA Fees,HOA Fees Freq.,Half Baths,Has Basement,Has Pool,Heating – Forced Air-1,Heating – Forced Air-2,Heating – Baseboard,Heating – Fan Coil,Heating – Gravity,Heating – Heat Pump,Heating – Hot Water,Heating – In Floor Heat System,Heating – Other and NaN,Is Waterfront,Parking Spaces,Roof – Asphalt Shingles,Roof – Cedar Shakes,Roof – Clay Tile,Roof – Concrete Tiles,Roof – EPDM Membrane,Roof – Fiberglass,Roof – Metal,Roof – Pine Shakes,Roof – Roll Roofing,Roof – Tar & Gravel,Roof – Vinyl Shingles,Roof – Wood Shingles,Roof – Other or NaN,Square Footage,Style - 1 and Half Storey,Style - 2 and Half Storey,Style - 2 Storey,Style - 2 Storey Split,Style - 3 Level Split,Style - 3 Storey,Style - 4 Level Split,Style - 5 Level Split,Style - Back Split,Style – Bi-Level,Style – Bungalow,Style - Bungalow Semi,Style - Hillside Bungalow,Style – Loft,Style - Modular Home,Style - Multi Level Apartment,Style – NaN,Style - Not Applicable,Style – Penthouse,Style - Raised Bungalow,Style - Single Level Apartment,Style - Studio Suite,Sub-Type – 4Plex,Sub-Type - Apartment High Rise,Sub-Type – Carriage,Sub-Type - Detached Condominium,Sub-Type - Duplex Side By Side,Sub-Type - Duplex Up And Down,Sub-Type - Half Duplex,Sub-Type - Lowrise Apartment,Sub-Type - Residential Attached,Sub-Type - Residential Detached Single Family,Sub-Type - Single Wide,Sub-Type - Stacked Townhouse,Sub-Type – Townhouse,Sub-Type – Tri-Plex,Sub-Type - Vacant Lot,Type – Condo/Townhouse,Type – Single Family,Year Built,Price,Police_Station,Catholic_School,Public_School,Bus_Stop,Playground,Public_Library,Recreation_Centre,Fire_Station
13228 31 STREET,21,,13228,31 STREET NW,334500,5438205,53.59386185,-113.3887936,0.15,53.593763,-113.388766,3,3,3,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1038,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1976,382900,3884,538,376,91,349,2481,2566,1630
3123 134 AVENUE,22,,3123,134 AVENUE NW,379000,9960539,53.59540564,-113.3897599,0.11,53.5955365,-113.389759,3,5,3,NaN,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1118,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1999,369900,3646,812,951,547,624,2244,2328,1392
14508 61a STREET nw,23,,14508,61A STREET NW,313500,6650360,53.60760566,-113.4363423,0.17,53.60754,-113.4359293,2,4,3,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1968,364500,2084,551,416,152,446,1116,1226,1504
6311 147 AVENUE,24,,6311,147 AVENUE NW,320500,6646228,53.60824196,-113.4398078,0.16,53.6082842,-113.4398012,3,6,4,NaN,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1374,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1968,364500,2297,764,817,321,847,1330,1097,1717
13055 35 STREET,25,,13055,35 STREET NW,370500,9987315,53.59100298,-113.3947186,0.09,53.5909795,-113.3948177,3,5,3,NaN,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1103,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2001,359800,4408,1062,276,271,264,3006,3090,2154
4815 131 AVENUE,26,,4815,131 AVENUE NW,323500,5452685,53.59165954,-113.415165,0.13,53.591729,-113.415152,3,5,3,NaN,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1224,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1975,359500,1790,1472,675,107,708,1778,1862,2644
431 huffman CRESCENT nw,27,,431,HUFFMAN CRESCENT NW,358500,5228341,53.57916511,-113.3905254,0.16,53.579206,-113.390652,3,5,3,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1284,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1978,359000,4527,1666,268,289,609,2068,3603,3743
3713 131a AVENUE,28,,3713,131A AVENUE NW,337000,3853082,53.59154567,-113.39809,0.11,53.5917654,-113.3980551,2,4,2,NaN,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1993,358123,2955,1062,1162,815,1054,1578,1663,2754
4703 128 AVENUE,29,,4703,128 AVENUE NW,322000,5202288,53.58759313,-113.4146525,0.15,53.5876872,-113.4146252,3,3,3,NaN,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1073,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1975,355500,2448,821,270,307,149,2339,2424,2712
13223 39 STREET,30,,13223,39 STREET NW,345500,5446745,53.59347422,-113.4000899,0.14,53.593469,-113.399993,3,4,3,NaN,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1510,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1975,354900,2681,580,888,541,497,1305,1389,2480
