REAL_ESTATE_ADDRESS,REAL_ESTATE_ID,PA_SUITE,PA_HOUSE_NUMBER,PA_STREET_NAME,PA_ASSESSED_VALUE,PA_ACCOUNT_NUMBER,PA_LATITUDE,PA_LONGITUDE,Acres,Latitude,Longitude,Bathrooms,Bedrooms,Beds Above Grade,Condo Fee,Construction – Wood Frame,Construction – Concrete,Construction – Concrete Block,Construction – Insulated Concrete,Construction – Modular,Construction – Prefab,Construction – Steel Frame,Ensuite,Exposure – North,Exposure – Northwest,Exposure – West,Exposure – Southwest,Exposure – South,Exposure – Southeast,Exposure – East,Exposure – Northeast,Fireplace,Foundation – Concrete,Foundation – Block,Foundation – Brick/Stone/Block,Foundation – Concrete Slab,Foundation – Grade Beam,Foundation – Piling,Foundation – Preserved Wood,Foundation – Other or NaN,Full Baths,HOA Fees,HOA Fees Freq.,Half Baths,Has Basement,Has Pool,Heating – Forced Air-1,Heating – Forced Air-2,Heating – Baseboard,Heating – Fan Coil,Heating – Gravity,Heating – Heat Pump,Heating – Hot Water,Heating – In Floor Heat System,Heating – Other and NaN,Is Waterfront,Parking Spaces,Roof – Asphalt Shingles,Roof – Cedar Shakes,Roof – Clay Tile,Roof – Concrete Tiles,Roof – EPDM Membrane,Roof – Fiberglass,Roof – Metal,Roof – Pine Shakes,Roof – Roll Roofing,Roof – Tar & Gravel,Roof – Vinyl Shingles,Roof – Wood Shingles,Roof – Other or NaN,Square Footage,Style - 1 and Half Storey,Style - 2 and Half Storey,Style - 2 Storey,Style - 2 Storey Split,Style - 3 Level Split,Style - 3 Storey,Style - 4 Level Split,Style - 5 Level Split,Style - Back Split,Style – Bi-Level,Style – Bungalow,Style - Bungalow Semi,Style - Hillside Bungalow,Style – Loft,Style - Modular Home,Style - Multi Level Apartment,Style – NaN,Style - Not Applicable,Style – Penthouse,Style - Raised Bungalow,Style - Single Level Apartment,Style - Studio Suite,Sub-Type – 4Plex,Sub-Type - Apartment High Rise,Sub-Type – Carriage,Sub-Type - Detached Condominium,Sub-Type - Duplex Side By Side,Sub-Type - Duplex Up And Down,Sub-Type - Half Duplex,Sub-Type - Lowrise Apartment,Sub-Type - Residential Attached,Sub-Type - Residential Detached Single Family,Sub-Type - Single Wide,Sub-Type - Stacked Townhouse,Sub-Type – Townhouse,Sub-Type – Tri-Plex,Sub-Type - Vacant Lot,Type – Condo/Townhouse,Type – Single Family,Year Built,Price,Police_Station,Catholic_School,Public_School,Bus_Stop,Playground,Public_Library,Recreation_Centre,Fire_Station
5420 111a STREET,2791,,5420,111A STREET NW,421500,7917941,53.49159112,-113.5184543,0.14,53.4917306,-113.5180551,2,4,3,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1961,479000,4448,626,453,272,377,2339,2523,3196
10715 66 AVENUE,2792,,10715,66 AVENUE NW,411000,7631203,53.50268549,-113.5082319,0.14,53.502612,-113.508231,2,1,1,NaN,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1949,469000,2403,1545,393,324,674,2553,1058,2049
5403 106 STREET,2793,,5403,106 STREET NW,497500,7804248,53.49138334,-113.5039025,0.18,53.491388,-113.503765,2,4,3,NaN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1961,460000,3381,2039,829,305,452,2689,2099,2149
6912 105a STREET,2794,,6912,105A STREET NW,358500,7796972,53.50575774,-113.5031049,0.17,53.5057306,-113.5026178,2,4,3,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1952,459900,2182,994,423,127,793,2002,386,2000
4715 117 STREET,2795,,4715,117 STREET NW,421000,7978943,53.48517286,-113.5337656,0.16,53.4851843,-113.5339366,2,4,3,NaN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1068,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1964,459000,6258,1195,480,401,272,3247,3430,2321
5307 105 STREET,2796,,5307,105 STREET NW,395500,7805625,53.49005469,-113.4999,0.14,53.52781,-113.5031878,2,4,3,NaN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1062,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1960,449900,3973,2200,918,254,609,2381,2657,1841
4515 147a STREET,2797,,4515,147A STREET NW,441500,7687080,53.48391486,-113.5734813,0.18,53.4839262,-113.5737232,4,5,4,NaN,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1830,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1980,449000,8876,1359,1570,391,702,2940,4154,3720
10907 60 AVENUE,2798,,10907,60 AVENUE NW,430500,7675390,53.49686633,-113.5124537,0,53.496977,-113.512456,3,4,4,NaN,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1216,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1960,448900,3214,1643,978,265,391,3142,1930,2423
4604 117 STREET,2799,,4604,117 STREET NW,466500,7978265,53.48397214,-113.5346432,0.16,53.483973,-113.534767,3,4,3,NaN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,NaN,NaN,2,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1279,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1965,439000,6480,1417,702,623,494,3469,3652,2543
10411 68 AVENUE,2800,,10411,68 AVENUE NW,443000,7797848,53.5040709,-113.4988696,0.13,53.5039919,-113.49887,2,4,3,NaN,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1045,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1959,427900,1880,1601,653,500,552,2421,691,2606
6523 104a STREET,2801,,6523,104A STREET NW,388500,7798226,53.50228018,-113.4988119,0.12,53.502267,-113.4992054,2,5,3,NaN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1035,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1957,419900,1946,1701,642,379,514,2487,885,2496
6319 105a STREET,2802,,6319,105A STREET NW,6000,7796030,53.50060601,-113.5013732,0,53.5008395,-113.5016515,2,3,3,NaN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1954,410000,2575,1743,417,349,121,2751,1256,2548
5336 104a STREET,2803,,5336,104A STREET NW,440500,7805179,53.49123824,-113.4992756,0.13,53.4911538,-113.4988484,2,3,2,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1278,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1965,409900,4105,2332,788,129,479,2513,2376,1973
10830 65 AVENUE,2804,,10830,65 AVENUE NW,376500,7632201,53.50227188,-113.5109092,0.12,53.5021779,-113.5109968,1,3,3,NaN,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1950,399900,2728,1870,570,91,593,2926,1235,1872
6072 106 STREET,2805,,6072,106 STREET NW,354000,7657430,53.49796513,-113.5048632,0.13,53.49797,-113.504849,3,5,3,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1955,379900,2617,1822,383,85,354,2830,1335,2712
4733 105 STREET,2806,,4733,105 STREET NW,321000,7816721,53.48603205,-113.499576,0.08,53.52781,-113.5031878,2,3,3,NaN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1184,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1965,364900,4338,1799,1092,529,185,1301,2962,2206
5647 202 STREET,2807,,5647,202 STREET NW,341500,10036502,53.49181904,-113.6687446,0.1,53.491617,-113.6691699,3,2,2,NaN,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1179,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2007,359900,8098,1678,2243,1170,1030,5407,4762,3507
103 10540 56 AVENUE,2808,103,10540,56 AVENUE NW,342500,10284828,53.49375256,-113.5014886,0.03,53.4932507,-113.5021185,3,2,2,547,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2010,358800,3212,2109,754,19,283,2759,2024,2219
5227 104a STREET,2809,,5227,104A STREET NW,376000,7807175,53.48977437,-113.4984112,0.14,53.4894234,-113.4988099,2,3,2,NaN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,933,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1960,358500,4032,2259,1322,313,760,2440,2912,1900
4 14816 45 AVENUE,2810,4,14816,45 AVENUE NW,306500,1041581,53.48391461,-113.5770313,0.09,53.484089,-113.57687,2,2,2,1057,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1980,349900,8643,1126,1336,158,469,2706,3920,3486
5105 107 STREET nw,2812,,5105,107 STREET NW,289000,7657463,53.48842822,-113.5074789,0,53.488419,-113.507386,2,4,3,NaN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1965,339000,4898,1010,605,71,267,1739,2676,2766
308 10530 56 AVENUE,2813,308,10530,56 AVENUE NW,288000,10284875,53.49375256,-113.5014886,0.02,53.4940419,-113.5021188,2,2,2,340,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2010,329900,3212,2109,754,19,283,2759,2024,2219
113 10530 56 AVENUE nw,2814,113,10530,56 AVENUE NW,260500,10284845,53.49375256,-113.5014886,0.02,53.4940419,-113.5021188,2,2,2,339,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2010,320000,3212,2109,754,19,283,2759,2024,2219
112 10520 56 AVENUE,2815,112,10520,56 AVENUE NW,260500,10284915,53.49375256,-113.5014886,0.02,53.4939628,-113.5011327,2,2,2,340,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2010,319988,3212,2109,754,19,283,2759,2024,2219
459 2750 55 STREET,2816,459,2750,55 STREET NW,330000,10031697,53.45859611,-113.4259974,0.02,53.4584423,-113.4261751,2,2,2,503,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2005,319900,169,1369,790,99,816,1936,1491,1229
14703 51 AVENUE,2817,,14703,51 AVENUE NW,277000,7952096,53.48855531,-113.5740108,0.05,53.4890826,-113.5745804,2,2,2,307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1399,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1975,306000,8268,751,961,571,859,3477,3545,4177
1 14824 45 AVENUE nw,2818,1,14824,45 AVENUE NW,339500,1041391,53.48391461,-113.5770313,0.09,53.483874,-113.577873,2,2,2,1140,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1821,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1980,299900,8643,1126,1336,158,469,2706,3920,3486
368 4823 104a STREET nw,2819,368,4823,104A STREET NW,272000,10068915,53.48663815,-113.4976935,0.03,53.4857528,-113.4989346,2,2,2,332,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2005,287500,3894,2330,1145,296,858,1772,3055,1784
260 4823 104a STREET,2820,260,4823,104A STREET NW,265000,10068910,53.48663815,-113.4976935,0.03,53.4857528,-113.4989346,2,2,2,326,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2005,285000,3894,2330,1145,296,858,1772,3055,1784
4347 riverbend ROAD nw,2821,,4347,RIVERBEND ROAD NW,243000,1188820,53.48068145,-113.5791617,0.06,53.4813415,-113.5797961,2,3,3,429,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1808,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1982,285000,8899,883,1141,235,1003,2424,4176,3204
4337 riverbend ROAD,2822,,4337,RIVERBEND ROAD NW,245000,1188754,53.48068145,-113.5791617,0.06,53.480683,-113.579047,3,3,3,428,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1808,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1982,284900,8899,883,1141,235,1003,2424,4176,3204
5022 147 STREET,2823,,5022,147 STREET NW,272000,7952104,53.48855531,-113.5740108,0.05,53.4887143,-113.5734816,3,2,2,306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,NaN,NaN,2,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1442,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1975,283500,8268,751,961,571,859,3477,3545,4177
468 4823 104a STREET,2824,468,4823,104A STREET NW,278000,10068925,53.48663815,-113.4976935,0.03,53.4857528,-113.4989346,2,2,2,332,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2005,279900,3894,2330,1145,296,858,1772,3055,1784
7 14820 45 AVENUE,2825,7,14820,45 AVENUE NW,278500,1041532,53.48391461,-113.5770313,0.08,53.484073,-113.577705,2,2,2,930,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1980,264900,8643,1126,1336,158,469,2706,3920,3486
14719 51 AVENUE,2826,,14719,51 AVENUE NW,277000,7952278,53.48855531,-113.5740108,0.05,53.4890826,-113.5745812,5,2,2,307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1442,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1975,252500,8268,751,961,571,859,3477,3545,4177
163 4823 104a STREET,2827,163,4823,104A STREET NW,233500,10068897,53.48663815,-113.4976935,0.02,53.4857528,-113.4989346,1,2,2,262,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,NaN,NaN,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2005,234900,3894,2330,1145,296,858,1772,3055,1784
5109 106a STREET,2828,,5109,106A STREET NW,224000,7681273,53.48893343,-113.5061055,0.06,53.5534247,-113.5028918,2,3,3,235,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1119,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1964,229000,4169,1173,768,224,430,2576,2584,2037
108 4835 104a STREET,2829,108,4835,104A STREET NW,207500,10085181,53.48663815,-113.4976935,0.01,53.4864111,-113.4980914,1,1,1,266,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NaN,NaN,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2005,224000,3894,2330,1145,296,858,1772,3055,1784
10636 51 AVENUE,2830,,10636,51 AVENUE NW,234000,7681489,53.48893343,-113.5061055,0.06,53.4884543,-113.5065583,1,3,3,235,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1119,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1964,212000,4169,1173,768,224,430,2576,2584,2037
b 14839 riverbend ROAD,2831,NaN,NaN,NaN,NaN,NaN,53.4964192,-113.5773864,0.05,53.4964192,-113.5773864,1,2,2,230,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,NaN,NaN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,844,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1973,211000,8543,1026,400,111,357,4010,3820,4452
409 14810 51 AVENUE,2832,409,14810,51 AVENUE NW,219000,7951106,53.48963527,-113.5753794,0.04,53.489858,-113.575385,2,2,2,942,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,NaN,NaN,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1976,209900,8103,585,796,406,694,3312,3380,4012
5138 106a STREET nw,2833,,5138,106A STREET NW,224500,7681042,53.48893343,-113.5061055,0.06,53.4887215,-113.5061061,2,3,3,235,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,NaN,NaN,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1119,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1964,199700,4169,1173,768,224,430,2576,2584,2037
321 14819 51 AVENUE,2834,321,14819,51 AVENUE NW,164500,7953508,53.48854883,-113.5756082,0.04,53.4885847,-113.5763306,1,2,2,377,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,NaN,NaN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1977,181000,8058,541,752,362,649,3268,3335,4047
