NAME,LATITUDE,LONGITUDE,LOCATION
Glengarry Park,53.5959466076638,-113.476305485878,"(53.5959466076638, -113.476305485878)"
Jamieson Place Playground,53.4904228593599,-113.650563477614,"(53.4904228593599, -113.650563477614)"
Garneau School West,53.5221865752289,-113.514041261645,"(53.5221865752289, -113.514041261645)"
Forest Heights School,53.5441339971013,-113.452746561697,"(53.5441339971013, -113.452746561697)"
Belgravia Community League,53.5095702429826,-113.530524730751,"(53.5095702429826, -113.530524730751)"
Chappelle,53.404037246194,-113.569974147615,"(53.404037246194, -113.569974147615)"
Woodcroft Playground,53.5647058448527,-113.561898550432,"(53.5647058448527, -113.561898550432)"
Sweetgrass School,53.4628542278058,-113.529558086203,"(53.4628542278058, -113.529558086203)"
Highlands Playground,53.5666949472174,-113.433366615057,"(53.5666949472174, -113.433366615057)"
Glenora Playground,53.5466726851173,-113.556901065114,"(53.5466726851173, -113.556901065114)"
Edmonton Chris,53.5561061819305,-113.568091442075,"(53.5561061819305, -113.568091442075)"
Dunluce Community League Playground,53.623679557569,-113.525080511313,"(53.623679557569, -113.525080511313)"
Hazeldean School,53.5032448140866,-113.476767151917,"(53.5032448140866, -113.476767151917)"
St. Richard School,53.4461734603099,-113.429202911275,"(53.4461734603099, -113.429202911275)"
Laurier Park Playground,53.5105076207247,-113.54895072045,"(53.5105076207247, -113.54895072045)"
Ecole Frere Antoine School,53.4601935902766,-113.4487388863,"(53.4601935902766, -113.4487388863)"
Greenfield Community League,53.47356709786,-113.52603423841,"(53.47356709786, -113.52603423841)"
Cardinal Leger,53.6062785276684,-113.47532519199,"(53.6062785276684, -113.47532519199)"
Kenilworth Park,53.5229969718608,-113.437435353139,"(53.5229969718608, -113.437435353139)"
Father L. Green,53.607907563897,-113.457417232658,"(53.607907563897, -113.457417232658)"
Dovercourt Community League Playground,53.5758818157617,-113.559515600876,"(53.5758818157617, -113.559515600876)"
Caernarvon Park,53.6109787600295,-113.528034422734,"(53.6109787600295, -113.528034422734)"
St Clare,53.5718308285726,-113.438136905885,"(53.5718308285726, -113.438136905885)"
Daly Grove School,53.4488644911356,-113.399377786905,"(53.4488644911356, -113.399377786905)"
Michael Strembitsky,53.4140126747726,-113.462573539322,"(53.4140126747726, -113.462573539322)"
Mother Teresa School,53.5519927639425,-113.476071673407,"(53.5519927639425, -113.476071673407)"
Lymburn School Playground,53.5063548703113,-113.64752097684,"(53.5063548703113, -113.64752097684)"
Silver Heights Park,53.532859405762,-113.464641075847,"(53.532859405762, -113.464641075847)"
Father L. Green,53.6071371572817,-113.457123266051,"(53.6071371572817, -113.457123266051)"
Kensington,53.5957654382356,-113.528236355726,"(53.5957654382356, -113.528236355726)"
Sherbrooke Playground,53.574872022769,-113.548259838336,"(53.574872022769, -113.548259838336)"
Jackie Parker Park,53.4842417163253,-113.42195839508,"(53.4842417163253, -113.42195839508)"
Mayliewan (St John Bosco School) Park,53.6220518421883,-113.459293721391,"(53.6220518421883, -113.459293721391)"
St. Patrick School,53.5744760810753,-113.489478362883,"(53.5744760810753, -113.489478362883)"
Brittania Youngstown Community League,53.5484547808017,-113.598117501138,"(53.5484547808017, -113.598117501138)"
Alberta Avenue NW,53.5709901695047,-113.483979271982,"(53.5709901695047, -113.483979271982)"
Dovercourt Community League Playground,53.5760054102976,-113.559473520138,"(53.5760054102976, -113.559473520138)"
Mill Creek,53.5157011471402,-113.480792038171,"(53.5157011471402, -113.480792038171)"
Charles Simmonds Park,53.5155627102707,-113.530710004608,"(53.5155627102707, -113.530710004608)"
Rideau School,53.4778850561509,-113.504645814329,"(53.4778850561509, -113.504645814329)"
St James,53.5139487607303,-113.455883672402,"(53.5139487607303, -113.455883672402)"
Giovanni Caboto,53.5563220705416,-113.484054631437,"(53.5563220705416, -113.484054631437)"
North Glenora Community League,53.554813954319,-113.55753026826,"(53.554813954319, -113.55753026826)"
Falconer Park,53.46315439445,-113.58849465036,"(53.46315439445, -113.58849465036)"
Leger School,53.4591795436861,-113.576805987386,"(53.4591795436861, -113.576805987386)"
Allin Park,53.532623108379,-113.595773545146,"(53.532623108379, -113.595773545146)"
Borden Park,53.561927584479,-113.454116827888,"(53.561927584479, -113.454116827888)"
Queen Mary Park School,53.5556278813137,-113.514451405915,"(53.5556278813137, -113.514451405915)"
Strathearn Park,53.5296189874728,-113.461079477645,"(53.5296189874728, -113.461079477645)"
Delton Tot Lot,53.5795555359984,-113.489400371148,"(53.5795555359984, -113.489400371148)"
Glastonbury Park West,53.5056320692554,-113.672544421285,"(53.5056320692554, -113.672544421285)"
Rutherford Park,53.4202560002858,-113.534757637028,"(53.4202560002858, -113.534757637028)"
Jasper Park Playground,53.5205944879402,-113.584584810425,"(53.5205944879402, -113.584584810425)"
Westwood Community League Park,53.5761369371431,-113.499907492371,"(53.5761369371431, -113.499907492371)"
Prince Charles,53.5784655554332,-113.539783907479,"(53.5784655554332, -113.539783907479)"
Sheriff Robertson Park,53.5591688050069,-113.466365638726,"(53.5591688050069, -113.466365638726)"
J. A. Fife School,53.6111023161257,-113.461698931762,"(53.6111023161257, -113.461698931762)"
Pleasantview Sch,53.4949646388818,-113.50336406243,"(53.4949646388818, -113.50336406243)"
